OBJECTID,name,address,longitude,latitude,type
64,新世界城地下停车场(出入口),南京西路2-88号新世界城F1,121.47341,31.235531,交通设施服务
65,新世界城地下停车场(出口),南京西路2-88号新世界城F1,121.473004,31.235292,交通设施服务
66,新世界城立体停车场(入口),人民广场地铁站8号口步行170米,121.472482,31.234685,交通设施服务
67,上海环亚保险经纪有限公司,六合路98号港陆黄浦中心13层,121.475,31.236576,金融保险服务
68,上海科技京城地下停车场,福建中路与南苏州路交叉口西南40米,121.478601,31.239689,交通设施服务
69,上海科技京城地下停车场(出入口),福建中路与南苏州路交叉口西南40米,121.478624,31.239693,交通设施服务
70,上海科技京城地下停车场(出入口),浙江中路与厦门路交叉口东南80米,121.477043,31.239272,交通设施服务
71,美珍香(新世界城店),南京西路2-68号南楼B1FA-3室,121.473584,31.234382,餐饮服务
72,山东水饺王(贵州路店),贵州路131弄4-16号后逢吉里,121.476123,31.236061,餐饮服务
73,注册公司代理记帐,浙江中路398号春申江大厦509B室,121.478157,31.236288,公司企业
74,汉庭酒店(南京路步行街店),香粉弄30号,121.479609,31.236386,住宿服务
75,上海外滩璞硯酒店,北京东路398号(南京东路地铁站6号口步行350米),121.482303,31.240459,住宿服务
76,新世界大丸百货地下停车场(出口),天津路3号(南京东路地铁站6号口步行150米),121.485539,31.238795,交通设施服务
77,新世界大丸百货地下停车场,江西中路与天津路交叉口南40米,121.486037,31.238787,交通设施服务
78,新世界大丸百货地下停车场(入口),新世界大丸百货地下停车场(南京东路地铁站6号口步行240米),121.486089,31.2388,交通设施服务
79,瑞尔齿科(名人诊所),南京东路300号恒基名人购物中心L4层,121.483882,31.2377,医疗保健服务
80,上海黄浦区荣庆进修学院,北京东路666号科技京城西楼4A室,121.477115,31.23905,科教文化服务
81,蜀腾川(新世界城店),南京西路2-68号新世界城L9层(人民广场地铁站7号口旁),121.473875,31.234737,餐饮服务
82,问BAR(新金桥广场店),西藏中路585号新金桥广场F1层,121.47228,31.236876,体育休闲服务
83,Mr.JUDY洗个头发(恒基名人店),南京东路300号恒基名人购物中心B2层,121.483938,31.237502,生活服务
84,华隆大厦人才中心,南苏州路333号华隆大厦(南京东路地铁站6号口步行410米),121.483984,31.241756,生活服务
85,老上海馄饨铺(无锡小区店),宁波路与五福弄交叉口西北80米,121.4805,31.239028,餐饮服务
86,蘭派·别墅派对轰趴馆(Downtown人民广场店),西藏中路525号(人民广场地铁站19号口步行230米),121.473546,31.236129,体育休闲服务
87,蚂蚁民宿(山西南路分店),山西南路外滩街道上海物资大厦,121.481319,31.239521,住宿服务
88,南京东路街道牛庄居民区人民调解委员会,贵州路与牛庄路交叉口西北40米,121.475523,31.237438,政府机构及社会团体
